CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,Hierarchical_Cluster,PCA1,PCA2
1,Male,19,15,39,4,4,-1.5371091968509976,-0.9222070469387349
2,Male,21,15,81,2,3,-0.3841676657655048,-2.0751485780242276
3,Female,20,16,6,4,4,-2.41600196621679,0.010665446829817656
4,Female,23,16,77,2,3,-0.46698175890560056,-1.9383547604813722
5,Female,31,17,40,4,4,-1.455678483612869,-0.895678311371344
6,Female,22,17,76,2,3,-0.4674428855395895,-1.8839139094446233
7,Female,35,18,6,4,4,-2.3620222418140306,0.06464517123257743
8,Female,23,18,94,2,3,0.05366477569842993,-2.3510418462798834
9,Male,64,19,3,4,4,-2.417385346118757,0.17398799994006417
10,Female,30,19,72,2,3,-0.5232671164783053,-1.720130229700388
11,Male,67,19,14,4,4,-2.1154244689296995,-0.12797287724899345
12,Female,35,19,99,2,3,0.21790958207665442,-2.4613069282553477
13,Female,58,20,15,4,4,-2.060983617892951,-0.12843400388298265
14,Female,24,20,77,2,3,-0.359022310100081,-1.8303953116758527
15,Male,37,20,13,4,4,-2.1158855955636886,-0.07353202621224489
16,Male,22,20,79,2,3,-0.3041203324293433,-1.8852972893465905
17,Female,35,21,35,4,4,-1.484973978984194,-0.6504639183889803
18,Male,20,21,66,2,3,-0.633993325087759,-1.5014445722854153
19,Male,52,23,29,4,4,-1.5957001875936474,-0.4317782609740072
20,Female,35,23,98,2,3,0.29841804204680483,-2.3258964906144595
21,Male,35,24,35,4,4,-1.4040043923800545,-0.5694943317848408
22,Male,25,24,73,2,3,-0.3608668166360372,-1.6126319075288578
23,Female,46,25,5,4,4,-2.20054419523974,0.2810251954776055
24,Male,31,25,73,2,3,-0.3338769544346572,-1.5856420453274778
25,Female,54,28,14,4,4,-1.8725157091172813,0.1149358825634252
26,Male,29,28,82,2,3,-0.005848468312197831,-1.7517313582416583
27,Female,45,28,32,4,4,-1.3783979100806414,-0.37918191647321453
28,Male,35,28,61,2,3,-0.5823192338549442,-1.175260592698912
29,Female,40,29,31,4,4,-1.3788590367146305,-0.32474106543646586
30,Female,23,29,87,2,3,0.15839633806602627,-1.8619964402171227
31,Male,60,30,4,4,4,-2.0930458730682098,0.44342549531987363
32,Female,21,30,73,2,3,-0.19892764342775793,-1.4506927343205784
33,Male,53,33,4,4,4,-2.01207628646407,0.5243950819240131
34,Male,18,33,92,2,3,0.40361073104839024,-1.8912919355884477
35,Female,49,33,14,4,4,-1.737566398110382,0.24988519357032443
36,Female,21,33,81,2,3,0.10164985385933258,-1.58933105839939
37,Female,42,34,17,4,4,-1.6282235694028955,0.19452208926559775
38,Female,30,34,73,2,3,-0.09096819462223858,-1.342733285515059
39,Female,36,37,26,4,4,-1.300195083280436,0.02843277635141736
40,Female,20,37,75,2,3,0.04490336965263874,-1.3166656765816573
41,Female,65,38,35,4,4,-1.0261463215607365,-0.19163626096552272
42,Male,24,38,92,2,3,0.5385600420552894,-1.7563426245815486
43,Male,48,39,36,4,4,-0.9717054705239876,-0.1920973875995117
44,Female,31,39,61,0,2,-0.2854307496397658,-0.8783721084837335
45,Female,49,39,28,4,4,-1.1913133812069385,0.027510523083439264
46,Female,24,39,65,2,2,-0.17562679429829034,-0.9881760638252091
47,Female,50,40,55,0,2,-0.4231468204505991,-0.6866763132701404
48,Female,27,40,47,0,2,-0.6427547311335502,-0.4670684025871894
49,Female,29,40,42,0,2,-0.7800096753103946,-0.32981345841034504
50,Female,31,40,42,0,2,-0.7800096753103946,-0.32981345841034504
